payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20000025,,C,BAS,4/30/2021,EMP,391.125
FIV,20000025,,C,ERS,4/30/2021,ERS,782.25
FIV,20000056,,C,BAS,4/30/2021,EMP,221.925
FIV,20000056,,C,ERS,4/30/2021,ERS,443.85
FIV,20000072,,C,BAS,4/30/2021,EMP,495.9
FIV,20000072,,C,ERS,4/30/2021,ERS,991.8
FIV,20000089,,C,BAS,4/30/2021,EMP,410.175
FIV,20000089,,C,ERS,4/30/2021,ERS,820.35
FIV,20000116,,C,BAS,4/30/2021,EMP,422.4
FIV,20000116,,C,ERS,4/30/2021,ERS,844.8
FIV,20000148,,C,BAS,4/30/2021,EMP,237.975
FIV,20000148,,C,ERS,4/30/2021,ERS,475.95
FIV,20000186,,C,BAS,4/30/2021,EMP,294.15
FIV,20000186,,C,ERS,4/30/2021,ERS,588.3
FIV,20000332,,C,BAS,4/30/2021,EMP,270.075
FIV,20000332,,C,ERS,4/30/2021,ERS,540.15
FIV,20000377,,C,BAS,4/30/2021,EMP,229.95
FIV,20000377,,C,ERS,4/30/2021,ERS,459.9
FIV,20000404,,C,BAS,4/30/2021,EMP,495.9
FIV,20000404,,C,ERS,4/30/2021,ERS,991.8
FIV,20000555,,C,BAS,4/30/2021,EMP,246
FIV,20000555,,C,ERS,4/30/2021,ERS,492
FIV,20000569,,C,BAS,4/30/2021,EMP,262.05
FIV,20000569,,C,ERS,4/30/2021,ERS,524.1
FIV,20000587,,C,BAS,4/30/2021,EMP,495.9
FIV,20000587,,C,AVC,4/30/2021,EMP,495.9
FIV,20000587,,C,ERS,4/30/2021,ERS,991.8
FIV,20000595,,C,BAS,4/30/2021,EMP,495.9
FIV,20000595,,C,AVC,4/30/2021,EMP,495.9
FIV,20000595,,C,ERS,4/30/2021,ERS,991.8
FIV,20000622,,C,BAS,4/30/2021,EMP,400.65
FIV,20000622,,C,ERS,4/30/2021,ERS,801.3
FIV,20000623,,C,BAS,4/30/2021,EMP,495.9
FIV,20000623,,C,AVC,4/30/2021,EMP,495.9
FIV,20000623,,C,ERS,4/30/2021,ERS,991.8
FIV,20000670,,C,BAS,4/30/2021,EMP,381.6
FIV,20000670,,C,ERS,4/30/2021,ERS,763.2
FIV,20000677,,C,BAS,4/30/2021,EMP,237.975
FIV,20000677,,C,ERS,4/30/2021,ERS,475.95
FIV,20000730,,C,BAS,4/30/2021,EMP,221.925
FIV,20000730,,C,ERS,4/30/2021,ERS,443.85
FIV,20000757,,C,BAS,4/30/2021,EMP,229.95
FIV,20000757,,C,ERS,4/30/2021,ERS,459.9
FIV,20000772,,C,BAS,4/30/2021,EMP,254.025
FIV,20000772,,C,ERS,4/30/2021,ERS,508.05
FIV,20000774,,C,BAS,4/30/2021,EMP,191.225
FIV,20000774,,C,ERS,4/30/2021,ERS,382.45
FIV,20000787,,C,BAS,4/30/2021,EMP,400.65
FIV,20000787,,C,AVC,4/30/2021,EMP,400.65
FIV,20000787,,C,ERS,4/30/2021,ERS,801.3
FIV,20000817,,C,BAS,4/30/2021,EMP,286.125
FIV,20000817,,C,ERS,4/30/2021,ERS,572.25
FIV,20000826,,C,BAS,4/30/2021,EMP,381.6
FIV,20000826,,C,AVC,4/30/2021,EMP,381.6
FIV,20000826,,C,ERS,4/30/2021,ERS,763.2
FIV,20000837,,C,BAS,4/30/2021,EMP,400.65
FIV,20000837,,C,ERS,4/30/2021,ERS,801.3
FIV,20000880,,C,BAS,4/30/2021,EMP,400.65
FIV,20000880,,C,AVC,4/30/2021,EMP,400.65
FIV,20000880,,C,ERS,4/30/2021,ERS,801.3
FIV,20000910,,C,BAS,4/30/2021,EMP,354.825
FIV,20000910,,C,ERS,4/30/2021,ERS,709.65
FIV,20000915,,C,BAS,4/30/2021,EMP,381.6
FIV,20000915,,C,ERS,4/30/2021,ERS,763.2
FIV,20000920,,C,BAS,4/30/2021,EMP,400.65
FIV,20000920,,C,ERS,4/30/2021,ERS,801.3
FIV,20000936,,C,BAS,4/30/2021,EMP,410.175
FIV,20000936,,C,ERS,4/30/2021,ERS,820.35
FIV,20000939,,C,BAS,4/30/2021,EMP,391.125
FIV,20000939,,C,AVC,4/30/2021,EMP,391.125
FIV,20000939,,C,ERS,4/30/2021,ERS,782.25
FIV,20001035,,C,BAS,4/30/2021,EMP,381.6
FIV,20001035,,C,ERS,4/30/2021,ERS,763.2
FIV,20001039,,C,BAS,4/30/2021,EMP,473.705
FIV,20001039,,C,ERS,4/30/2021,ERS,947.405
